number,degradation_on_density_high_level_smells,degradation_on_density_low_level_smells,degradation_on_diversity_high_level_smells,degradation_on_diversity_low_level_smells
17,True,True,False,False
22,True,True,False,False
25,False,True,False,False
26,True,True,False,False
31,True,True,False,False
32,False,True,False,False
33,False,False,False,False
36,False,False,False,False
37,False,True,False,False
42,False,False,False,False
44,False,False,False,False
45,False,True,False,False
46,False,False,False,False
47,False,False,False,False
49,True,False,False,False
51,False,False,False,False
52,False,False,False,False
53,True,True,False,False
54,False,False,False,False
57,True,True,False,False
70,False,False,False,False
73,False,False,False,False
75,True,True,False,False
80,False,False,False,False
85,True,True,False,False
92,False,False,False,False
95,False,False,False,False
98,False,False,False,False
105,False,False,False,False
115,False,False,False,False
117,False,False,False,False
119,False,True,False,False
121,False,False,False,False
123,False,True,False,False
126,False,True,False,False
128,False,False,False,False
132,False,False,False,False
135,False,True,False,False
136,False,True,False,False
151,False,False,False,False
152,False,False,False,False
155,False,False,False,False
159,False,False,False,False
162,False,False,False,False
177,False,False,False,False
185,True,True,True,True
193,False,False,False,False
194,False,False,False,False
196,False,False,False,False
197,False,False,False,False
198,False,False,False,False
210,True,True,False,False
220,True,True,False,False
225,True,True,False,False
226,False,False,False,False
230,False,False,False,False
241,False,False,False,False
244,True,False,False,False
248,False,False,False,False
253,False,True,False,False
260,False,False,False,False
261,False,True,False,False
284,False,True,False,False
294,True,True,False,False
296,False,True,False,False
321,False,True,False,False
338,False,True,False,False
339,False,False,False,False
342,True,False,False,False
346,False,True,False,False
350,True,False,False,False
359,False,True,False,False
361,True,True,False,False
363,False,False,False,False
379,False,False,False,False
381,False,False,False,False
409,False,False,False,False
411,False,False,False,False
415,False,True,False,False
416,False,False,False,False
420,False,False,False,False
421,False,False,False,False
422,False,False,False,False
425,False,False,False,False
427,False,False,False,False
460,False,False,False,False
461,False,False,False,False
463,False,True,False,False
464,False,False,False,False
465,False,False,False,False
475,False,False,False,False
482,True,True,False,False
490,False,False,False,False
506,False,False,False,False
508,False,False,False,False
512,False,False,False,False
515,False,False,False,False
518,True,False,False,False
543,False,False,False,False
544,True,True,False,False
548,False,True,False,False
553,False,False,False,False
554,False,False,False,False
566,True,True,False,False
584,False,False,False,False
585,False,False,False,False
586,False,True,False,False
587,True,True,False,False
590,False,False,False,False
594,True,True,False,False
619,True,True,False,False
630,False,False,False,False
633,True,True,False,False
646,False,False,False,False
648,False,False,False,False
664,True,False,False,False
682,True,True,False,False
692,False,False,False,False
697,False,False,False,False
704,False,False,False,False
934,False,False,False,False
946,False,False,False,False
1421,False,False,False,False
1806,False,True,False,False
1891,True,True,False,False
1954,True,True,False,False
2030,False,True,False,False
2156,True,True,False,False
2213,True,True,False,False
2225,False,True,False,False
2293,True,True,False,False
2315,True,True,False,False
2316,True,True,False,False
2423,True,True,False,False
2489,True,True,False,False
2505,True,False,True,False
2569,True,True,False,False
3315,True,True,False,False
3995,True,True,True,False
4097,True,True,True,False
4540,True,True,False,False
5623,True,True,False,False
6291,False,False,False,False
8451,True,True,False,False
8789,False,True,False,False
9390,True,True,False,False
9644,True,True,False,False
